800,"Neoplasias, NOS"
9719/3,"Linfoma extranodal de células NK/T, tipo nasal"
9719/3,Reticulación maligna de la línea media
9719/3,Reticulación polimórfica
9719/3,Linfoma de células T/NK
972,Linfomas linfoblásticos de células precursoras
9724/3,Enfermedad linfoproliferativa sistémica de células T EBV positiva de la infancia
9725/1,Enfermedad linfoproliferativa similar a la hidroa vacciniforme Trastorno
9725/1,Linfoma tipo hidroa vacciniforme
9726/3,Linfoma cutáneo primario de células T gamma-delta
9727/3,"Linfoma linfoblástico de células precursoras, NOS"
9727/3,"Linfoma maligno, linfoblástico, NOS"
9727/3,Linfoblastoma
9727/3,"Linfoma maligno, de células contorneadas"
9727/3,Linfoma blástico de células NK
9727/3,Neoplasia blástica de células dendríticas plasmocitoides
973,Neoplasias de células plasmáticas
9731/3,"Plasmacitoma, NOS"
9731/3,Tumor de células plasmáticas
9731/3,Plasmacitoma de hueso
9731/3,Mieloma solitario
9731/3,Plasmacitoma solitario
9732/3,Mieloma de células plasmáticas
9732/3,Mieloma múltiple
9732/3,"Mieloma, NOS"
9732/3,Mielomatosis
9733/3,Leucemia de células plasmáticas
9733/3,Leucemia plasmocítica
9734/3,Plasmacitoma extramedular
9734/3,Plasmacitoma extraóseo
9735/3,Linfoma plasmoblástico
9737/3,Linfoma de células B grandes ALK positivo
9738/3,Linfoma difuso de células B grandes HHV8 positivo
9738/3,Linfoma de células B grandes que surge en la enfermedad de Castleman multicéntrica asociada a HHV8
974,Matocitos Neoplasias
9740/1,"Mastocitoma, NOS"
9740/1,"Tumor de mastocitos, NOS"
9740/1,"Mastocitosis cutánea, NOS"
9740/1,Mastocitosis cutánea difusa
9740/1,Mastocitoma extracutáneo
9740/1,Mastocitoma solitario de la piel
9740/1,Urticaria pigmentosa
9740/3,Sarcoma de mastocitos
9740/3,Tumor maligno de mastocitos
9740/3,Mastocitoma maligno
9741/1,Mastocitosis sistémica indolente
9741/3,Mastocitosis maligna
9741/3,Enfermedad tisular sistémica de mastocitos
9741/3,Mastocitosis sistémica agresiva
9741/3,Mastocitosis sistémica con AHNMD
9741/3,Mastocitosis sistémica con trastorno hematológico clonal no mastocítico asociado
9742/3,Leucemia de mastocitos
9749/3,Enfermedad de Erdheim-Chester
975,Neoplasias de histiocitos y células linfoides accesorias
9750/3,Histiocitosis maligna
9750/3,Reticulosis medular histiocítica
9751/1,"Histiocitosis de células de Langerhans, NOS"
9751/1,"Histiocitosis de células de Langerhans, monostótica"
9751/1,"Histiocitosis de células de Langerhans, polistótica"
9751/3,Histiocitosis de células de Langerhans diseminada
9751/3,Granulomatosis de células de Langerhans
9751/3,Granuloma eosinofílico
9751/3,Histiocitosis X progresiva aguda
9751/3,"Histiocitosis X, NOS"
9751/3,Enfermedad de Hand-Schuller-Christian
9751/3,Enfermedad de Letterer-Siwe
9751/3,Reticuloendoteliosis no lipídica
9755/3,Sarcoma histiocítico
9755/3,Linfoma histiocítico verdadero
9756/3,Sarcoma de células de Langerhans
9757/3,Sarcoma de células dendríticas interdigitadas
9757/3,Sarcoma de células interdigitadas
9757/3,"Sarcoma de células dendríticas, NOS"
9757/3,Tumor de células dendríticas indeterminado
9758/3,Sarcoma de células dendríticas foliculares
9758/3,Tumor de células dendríticas foliculares
9759/3,Tumor de células reticulares fibroblásticas
976,Enfermedades inmunoproliferativas
9760/3,"Enfermedad inmunoproliferativa, NOS"
9761/1,Gammapatía monoclonal IgM de significado incierto
9761/3,Macroglobulinemia de Waldenström
9762/3,"Enfermedad de la cadena pesada, NOS"
9762/3,Enfermedad de la cadena pesada alfa
9762/3,Enfermedad de la cadena pesada gamma
9762/3,Enfermedad de Franklin
9762/3,Enfermedad de la cadena pesada Mu
9764/3,Enfermedad inmunoproliferativa del intestino delgado Enfermedad
9764/3,Linfoma mediterráneo
9765/1,"Gammapatía monoclonal de significado incierto, NOS"
9765/1,MGUS
9765/1,"Gammapatía monoclonal, NOS"
9766/1,Lesión inmunoproliferativa angiocéntrica
9766/1,"Granulomatosis linfomatoide, NOS"
9766/1,"Granulomatosis linfomatoide, grado 1"
9766/1,"Granulomatosis linfomatoide, grado 2"
9766/3,"Granulomatosis linfomatoide, grado 3"
9767/1,Linfoadenopatía angioinmunoblástica (AIL)
9767/1,Linfoadenopatía inmunoblástica (IBL)
9768/1,Enfermedad linfoproliferativa T-gamma
9769/1,Enfermedad por depósito de inmunoglobulina
9769/1,Amiloidosis primaria
9769/1,Enfermedad sistémica de cadenas ligeras
980-994,Leucemias
980,"Leucemias, NOS"
9800/3,"Leucemia, NOS"
9800/3,"Leucemia aleucémica, NOS"
9800/3,"Leucemia crónica, NOS"
9800/3,"Leucemia subaguda, NOS"
9801/3,"Leucemia aguda, NOS"
9801/3,Leucemia de células blásticas
9801/3,Leucemia de células madre
9801/3,Leucemia indiferenciada
9805/3,Leucemia bifenotípica aguda
9805/3,Leucemia bilineal aguda
9805/3,Leucemia de linaje mixto aguda leucemia
9806/3,Leucemia aguda de fenotipo mixto con t(9;22)(q34;q11.2); BCR-ABL1
9807/3,Leucemia aguda de fenotipo mixto con t(v;11q23); MLL reordenado
9808/3,"Leucemia aguda de fenotipo mixto, B/mieloide, NOS"
9809/3,"Leucemia aguda de fenotipo mixto, T/mieloide, NOS"
981-983,Leucemias linfoides
9811/3,"Leucemia/linfoma linfoblástico B, NOS"
9811/3,C-ALL
9811/3,ALL común
9811/3,ALL de precursores comunes de células B
9811/3,ALL pre-B
9811/3,ALL pre-pre-B
9811/3,ALL pro-B
9811/3,Linfoma linfoblástico de precursores de células B
9811/3,Leucemia linfoblástica de precursores de células B
9811/3,Leucemia linfoblástica B/linfoma con iAMP21
9812/3,Leucemia/linfoma linfoblástico B con t(9;22)(q34;q11.2); BCR-ABL1
9813/3,Leucemia/linfoma linfoblástico B con t(v;11q23); MLL reordenado
9814/3,Leucemia/linfoma linfoblástico B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)
9815/3,Leucemia/linfoma linfoblástico B con hiperdiploidía
9816/3,Leucemia/linfoma linfoblástico B con hipodiploidía (LLA hipodiploide)
9817/3,Leucemia/linfoma linfoblástico B con t(5;14)(q31;q32); IL3-IGH
9818/3,Leucemia/linfoma linfoblástico B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)
9819/3,"Leucemia/linfoma linfoblástico B, similar a BCR-ABL1"
9820/3,"Leucemia linfoide, NOS"
9820/3,"Leucemia linfática, NOS"
9820/3,"Leucemia linfocítica, NOS"
9820/3,Leucemia linfoide aleucémica
9820/3,Leucemia linfática aleucémica
9820/3,Leucemia linfocítica aleucémica
9820/3,Leucemia de células de linfosarcoma
9820/3,Leucemia linfoide subaguda
9820/3,Leucemia linfática subaguda
9820/3,Leucemia linfocítica subaguda
9823/1,"Linfocitosis monoclonal de células B, tipo LLC"
9823/3,Leucemia linfocítica crónica de células B/linfoma linfocítico pequeño
9823/3,Leucemia linfática crónica
9823/3,Leucemia linfocítica crónica
9823/3,"Leucemia linfocítica crónica, tipo de células B"
9823/3,Leucemia linfoide crónica
9823/3,"Linfoma maligno, linfocítico B pequeño, NOS"
9823/3,"Linfoma maligno, linfocítico, NOS"
9823/3,"Linfoma maligno, linfocítico, difuso, NOS"
9823/3,"Linfoma maligno, de células pequeñas, NOS"
9823/3,"Linfoma maligno, linfocítico pequeño, NOS"
9823/3,"Linfoma maligno, linfocítico, bien diferenciado, difuso"
9823/3,"Linfoma maligno, de células pequeñas, difuso"
9823/3,"Linfoma maligno, linfocítico pequeño, difuso"
9827/3,Leucemia/linfoma de células T en adultos (HTLV-1 positivo)
9827/3,Leucemia de células T en adultos
9827/3,Linfoma de células T en adultos linfoma
9827/3,Linfoma/leucemia de células T en adultos
9831/3,Leucemia linfocítica granular grande de células T
9831/3,"Linfocitosis granular grande, NOS"
9831/3,Leucemia linfocítica granular grande de células NK
9831/3,Linfocitosis granular grande de células T
9831/3,Trastorno linfoproliferativo crónico de las células NK
9832/3,"Leucemia prolinfocítica, NOS"
9833/3,"Leucemia prolinfocítica, tipo de células B"
9834/3,"Leucemia prolinfocítica, tipo de células T"
9835/3,"Leucemia linfoblástica de células precursoras, NOS"
9835/3,"Leucemia linfoblástica aguda, NOS"
9835/3,"Leucemia linfoblástica aguda, tipo L2, NOS"
9835/3,"Linfoma-leucemia linfoblástica aguda, NOS"
9835/3,"Leucemia linfoblástica, NOS"
9835/3,Leucemia linfática aguda
9835/3,Leucemia linfocítica aguda
9835/3,Leucemia linfoide aguda
9835/3,FAB L1
9835/3,FAB L2
9835/3,"Leucemia linfoblástica de células precursoras, no fenotipada"
9835/3,"Leucemia linfoblástica aguda, tipo de células precursoras"
9837/3,Leucemia linfoblástica de células T precursoras
9837/3,LLA T cortical
9837/3,LLA T madura
9837/3,LLA pre-T
9837/3,LLA pro-T
9837/3,Linfoma linfoblástico de células T precursoras
9837/3,Leucemia/linfoma linfoblástico T
9837/3,Leucemia linfoblástica aguda de células T precursoras tempranas
984-993,Leucemias mieloides
9840/3,Leucemia eritroide aguda
9840/3,"Leucemia mieloide aguda, tipo M6"
9840/3,Eritremia aguda
9840/3,Mielosis eritrémica aguda
9840/3,LMA M6
9840/3,Enfermedad de Di Guglielmo
9840/3,"Mielosis eritrémica, NOS"
9840/3,Eritroleucemia
9840/3,FAB M6
9840/3,M6A
9840/3,M6B
9860/3,"Leucemia mieloide, NOS"
9860/3,"Leucemia granulocítica, NOS"
9860/3,"Leucemia mielocítica, NOS"
9860/3,"Leucemia mielógena, NOS"
9860/3,"Leucemia mielomonocítica, NOS"
9860/3,"Leucemia no linfocítica, NOS"
9860/3,Leucemia mieloide aleucémica
9860/3,Leucemia granulocítica aleucémica
9860/3,Leucemia mielógena aleucémica
9860/3,Leucemia monocítica aleucémica
9860/3,Leucemia monocítica crónica
9860/3,"Leucemia eosinofílica, NOS"
9860/3,"Leucemia monocítica, NOS"
9860/3,Leucemia monocítica subaguda
9860/3,Leucemia mieloide subaguda
9860/3,Leucemia granulocítica subaguda
9860/3,Leucemia mielógena subaguda
9861/3,"Leucemia mieloide aguda, NOS"
9861/3,Leucemia granulocítica aguda
9861/3,Leucemia mielocítica aguda
9861/3,Leucemia mielógena aguda
9861/3,Leucemia Leucemia no linfocítica
9863/3,"Leucemia mieloide crónica, NOS"
9863/3,"Leucemia granulocítica crónica, NOS"
9863/3,"Leucemia mielocítica crónica, NOS"
9863/3,"Leucemia mielógena crónica, NOS"
9865/3,Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214
9866/3,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12)"
9866/3,"Leucemia promielocítica aguda, NOS"
9866/3,"Leucemia mieloide aguda, PML/RAR-alfa"
9866/3,"Leucemia mieloide aguda, t(15;17)(q22;q11-12)"
9866/3,"Leucemia promielocítica aguda, PML/RAR-alfa"
9866/3,FAB M3
9867/3,"Leucemia mielomonocítica aguda, NOS"
9867/3,FAB M4
9869/3,Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1
9870/3,Leucemia basófila aguda
9871/3,Leucemia mieloide aguda con eosinófilos anormales en la médula ósea
9871/3,"Leucemia mieloide aguda, CBF-beta/MYH11"
9871/3,"Leucemia mieloide aguda, inv(16)(p13;q22)"
9871/3,"Leucemia mieloide aguda, t(16;16)(p13;q11)"
9871/3,Leucemia mielomonocítica aguda con eosinófilos anormales
9871/3,FAB M4Eo
9872/3,"Leucemia mieloide aguda, diferenciación mínima"
9872/3,Leucemia mieloblástica aguda
9872/3,FAB M0
9873/3,Leucemia mieloide aguda sin maduración
9873/3,FAB M1
9874/3,Leucemia mieloide aguda con maduración
9874/3,"FAB M2, NOS"
9875/3,"Leucemia mieloide crónica, BCR/ABL positiva"
9875/3,"Leucemia mielógena crónica, BCR/ABL positiva"
9875/3,"Leucemia granulocítica crónica Leucemia, BCR/ABL"
9875/3,"Leucemia granulocítica crónica, cromosoma Filadelfia (Ph1) positivo"
9875/3,"Leucemia granulocítica crónica, t(9;22)(q34;q11)"
9875/3,"Leucemia mieloide crónica, cromosoma Filadelfia (Ph1) positivo"
9875/3,"Leucemia mieloide crónica, cromosoma Filadelfia (Ph1) positivo"
9875/3,"Leucemia mieloide crónica, t(9;22)(q34;q11)"
9875/3,"Leucemia mieloide crónica, t(9;22)(q34;q11)"
9876/3,"Leucemia mieloide crónica atípica, BCR/ABL negativo"
9876/3,"Leucemia mieloide crónica atípica, cromosoma Filadelfia (Ph1) negativo"
9877/3,Leucemia mieloide aguda con NPM1 mutado
9878/3,Leucemia mieloide aguda con mutación bialélica de CEBPA
9879/3,Leucemia mieloide aguda con RUNX1 mutado
9891/3,Leucemia monocítica aguda Leucemia
9891/3,"Leucemia monoblástica, NOS"
9891/3,Leucemia monoblástica aguda
9891/3,FAB M5
9891/3,Leucemia monoblástica y monocítica aguda
9895/3,Leucemia mieloide aguda con cambios relacionados con mielodisplasia
9895/3,Leucemia mieloide aguda con displasia multilinaje
9895/3,Leucemia mieloide aguda con síndrome mielodisplásico previo
9895/3,Leucemia mieloide aguda sin síndrome mielodisplásico previo
9896/3,"Leucemia mieloide aguda, t(8;21)(q22;q22)"
9896/3,"Leucemia mieloide aguda, AML1(CBF-alfa)/ETO"
9896/3,Leucemia mieloide aguda con t(8;21)(q22;q22); RUNX1-RUNX1T1
9896/3,"FAB M2, AML1(CBF-alfa)/ETO"
9896/3,"FAB M2, t(8;21)(q22;q22)"
9897/3,"Leucemia mieloide aguda, anomalías 11q23"
9897/3,"Leucemia mieloide aguda, MLL"
9897/3,Leucemia mieloide aguda con t(9;11)(p22;q23); MLLT3-MLL
9898/1,Mielopoyesis anormal transitoria
9898/3,Leucemia mieloide asociada con el síndrome de Down
9910/3,Leucemia megacarioblástica aguda
9910/3,Leucemia megacariocítica
9910/3,FAB M7
9911/3,Leucemia mieloide aguda (megacarioblástica) con t(1;22)(p13;q13); RBM15-MKL1
9912/3,Leucemia mieloide aguda con BCR-ABL1
9920/3,Neoplasia mieloide relacionada con el tratamiento
9920/3,"Leucemia mieloide aguda relacionada con el tratamiento, NOS"
9920/3,"Leucemia mieloide aguda relacionada con el tratamiento, relacionada con agentes alquilantes"
9920/3,"Leucemia mieloide aguda relacionada con el tratamiento, relacionada con epipodofilotoxina"
9930/3,Sarcoma mieloide
9930/3,Cloroma
9930/3,Sarcoma granulocítico
9931/3,Pamielosis aguda con mielofibrosis
9931/3,"Mieloesclerosis aguda, NOS"
9931/3,"Pamielosis aguda, NOS"
9931/3,Mielofibrosis aguda
9931/3,Mieloesclerosis maligna
994,Otras leucemias
9940/3,"Leucemia de células pilosas, NOS"
9940/3,Reticuloendoteliosis leucémica
9945/3,"Leucemia mielomonocítica crónica, NOS"
9945/3,"Leucemia mielomonocítica crónica, tipo I"
9945/3,"Leucemia mielomonocítica crónica, tipo II"
9945/3,Leucemia mielomonocítica crónica Leucemia en transformación
9946/3,"Leucemia mielomonocítica juvenil, NOS"
9946/3,Leucemia mielomonocítica crónica juvenil
9948/3,Leucemia agresiva de células NK
995-996,Neoplasias mieloproliferativas
9950/3,Policitemia vera
9950/3,Eritremia crónica
9950/3,Policitemia rubra vera
9950/3,Policitemia proliferativa
9960/3,"Neoplasia mieloproliferativa, NOS"
9960/3,"Enfermedad mieloproliferativa crónica, NOS"
9960/3,Trastorno mieloproliferativo crónico
9960/3,"Enfermedad mieloproliferativa, NOS"
9961/3,Mielofibrosis primaria
9961/3,Metaplasia mieloide agnogénica
9961/3,Mielofibrosis idiopática crónica
9961/3,Mieloesclerosis megacariocítica
9961/3,Mielofibrosis como resultado de enfermedad mieloproliferativa
9961/3,Mielofibrosis con metaplasia mieloide
9961/3,Mieloesclerosis con metaplasia mieloide
9962/3,Trombocitemia esencial
9962/3,Trombocitemia hemorrágica esencial
9962/3,Trombocitemia idiopática Trombocitemia hemorrágica
9962/3,Trombocitemia idiopática
9963/3,Leucemia neutrofílica crónica
9964/3,Leucemia eosinofílica crónica
9964/3,Síndrome hipereosinofílico
9965/3,Neoplasia mieloide o linfoide con reordenamiento de PDGFRA
9966/3,Neoplasia mieloide con reordenamiento de PDGFRB
9967/3,Neoplasia mieloide o linfoide con anomalías de FGFR1
9968/3,Neoplasia mieloide o linfoide con PCM1-JAK2
997,Otras neoplasias hematológicas
9970/1,"Trastorno linfoproliferativo, NOS"
9970/1,"Enfermedad linfoproliferativa, NOS"
9971/1,"Trastorno linfoproliferativo postrasplante, NOS"
9971/1,"PTLD, NOS"
9971/1,Trastorno linfoproliferativo postrasplante polimórfico
9975/3,"Neoplasia mieloproliferativa, inclasificable"
9975/3,"Neoplasia mielodisplásica/mieloproliferativa, inclasificable"
998-999,Síndromes mielodisplásicos
9980/3,Síndrome mielodisplásico con displasia de linaje único
9980/3,"Anemia refractaria, NOS"
9980/3,Anemia refractaria sin sideroblastos
9980/3,Neutropenia refractaria
9980/3,Trombocitopenia refractaria
9982/3,Síndrome mielodisplásico con sideroblastos en anillo y linaje único displasia
9982/3,Anemia refractaria con sideroblastos
9982/3,RARS
9982/3,Anemia refractaria con sideroblastos en anillo asociada a trombocitosis marcada
9982/3,"Anemia refractaria con sideroblastos en anillo, NOS"
9982/3,"Síndrome mielodisplásico con sideroblastos en anillo, NOS"
9983/3,Síndrome mielodisplásico con exceso de blastos
9983/3,"Anemia refractaria con exceso de blastos, NOS"
9983/3,"RAEB, NOS"
9983/3,RAEB I
9983/3,RAEB II
9984/3,Anemia refractaria con exceso de blastos en transformación
9984/3,RAEB-T
9985/3,Síndrome mielodisplásico con displasia multilinaje
9985/3,Citopenia refractaria con displasia multilinaje
9985/3,Citopenia refractaria de la infancia
9986/3,Síndrome mielodisplásico con del (5q) aislada
9986/3,Síndrome mielodisplásico con síndrome de deleción 5q (5q-)
9987/3,"Síndrome mielodisplásico relacionado con el tratamiento, NOS"
9987/3,"Síndrome mielodisplásico relacionado con el tratamiento, relacionado con agentes alquilantes"
9987/3,"Síndrome mielodisplásico relacionado con el tratamiento, relacionado con epipodofilotoxina"
9989/3,"Síndrome mielodisplásico, NOS"
9989/3,Preleucemia
9989/3,Síndrome preleucémico
9989/3,"Síndrome mielodisplásico, inclasificable"
9993/3,Síndrome mielodisplásico con sideroblastos en anillo y displasia multilinaje
